"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","KP","SOT","TkW","DPt2","AP","CoSF","AER","CSD"
"*03jly*","Andreas Pereira","FUL","M","223","FA","MCI 2<br/>@FUL 0 F","61.28","-","-","1","0","1","1","0","0","27","1","0","0"
"*04f6o*","Will Hughes","CRY","M","252","FA","CRY 1<br/>@LIV 1 F","61.16","-","-","1","0","2","0","1","0","22","1","0","0"
"*03u2b*","Adama Traore","FUL","M,F","152","FA","MCI 2<br/>@FUL 0 F","60.94","-","-","1","0","2","0","0","0","11","4","0","0"
"*063y7*","Destiny Udogie","TOT","D","156","FA","BHA 4<br/>@TOT 1 F","60.87","-","-","1","0","0","0","0","0","56","1","0","0"
"*03dx7*","Ben Mee","BRF","D","486","FA","BRF 1<br/>@WOL 1 F","60.76","-","-","1","0","0","0","0","1","30","0","2","1"
"*061va*","Boubacar Kamara","AVL","D,M","230","RED","AVL 0<br/>@MUN 2 F","60.68","-","-","1","0","0","0","2","0","21","2","0","0"
"*06crm*","Pau Torres","AVL","D","226","FA","AVL 0<br/>@MUN 2 F","60.49","-","-","1","0","0","0","0","0","42","0","2","0"
"*0666p*","Kobbie Mainoo","MUN","M,F","241","FA","AVL 0<br/>@MUN 2 F","60.42","-","-","1","0","3","0","0","0","20","1","0","0"
"*05opj*","Elliot Anderson","NOT","M","63","NIM","CHE 1<br/>@NOT 0 F","60.33","-","-","1","0","1","0","3","1","21","2","0","0"
"*06msd*","Yukinari Sugawara","SOU","D,M","271","FA","ARS 2<br/>@SOU 1 F","60.09","-","-","1","0","2","0","1","0","24","0","0","0"
"*05n03*","Kalvin Phillips","IPS","M","378","FA","WHU 3<br/>@IPS 1 F","59.91","-","-","1","0","0","0","1","0","35","0","1","0"
"*03yu2*","Abdoulaye Doucoure","EVE","M,F","186","MOV","EVE 1<br/>@NEW 0 F","59.81","-","-","1","0","0","0","2","0","24","1","0","0"
"*04spq*","Jack Harrison","EVE","M,F","207","FA","EVE 1<br/>@NEW 0 F","59.7","-","-","1","0","3","0","0","0","9","2","0","0"
"*03fgo*","Dominic Solanke","TOT","F","88","FA","BHA 4<br/>@TOT 1 F","59.27","-","-","1","0","0","0","1","0","17","2","1","0"
"*05gvx*","Armando Broja","CHE/EVE","F","425","FA","EVE 1<br/>@NEW 0 F","59.04","-","-","1","0","2","0","0","0","7","2","1","0"
"*02ljr*","Conor Coady","LEI","D","303","FA","LEI 0<br/>@BOU 2 F","58.9","-","-","1","0","0","0","0","0","33","0","2","0"
"*05uor*","Yoane Wissa","BRF","M,F","27","OSW","BRF 1<br/>@WOL 1 F","58.74","-","-","1","0","0","1","0","0","10","3","0","0"
"*062h7*","Tyler Adams","BOU","M","219","BAR","LEI 0<br/>@BOU 2 F","58.61","-","-","1","0","0","0","2","0","18","1","0","0"
"*062ts*","Djed Spence","TOT","D","160","OSW","BHA 4<br/>@TOT 1 F","58.59","-","-","1","0","2","0","1","3","53","2","0","0"
"*06oav*","Guido Rodriguez","WHU","M","413","FA","WHU 3<br/>@IPS 1 F","58.46","-","-","1","0","1","0","3","1","19","1","0","0"
"*04qrc*","Raul Jimenez","FUL","F","23","W_W","MCI 2<br/>@FUL 0 F","58.43","-","-","1","0","0","1","0","0","14","1","1","0"
"*05u5d*","Boubakary Soumare","LEI","M","262","FA","LEI 0<br/>@BOU 2 F","58.41","-","-","1","0","0","0","0","0","25","2","1","0"
"*05l27*","Jarrad Branthwaite","EVE","D","164","LHO","EVE 1<br/>@NEW 0 F","58.33","-","-","1","0","0","1","1","1","24","0","2","0"
"*068lx*","Dango Ouattara","BOU","D,M,F","69","FA","LEI 0<br/>@BOU 2 F","58.23","-","-","1","0","1","0","1","0","16","0","1","0"
"*05os8*","Joachim Andersen","CRY/FUL","D","214","W_W","MCI 2<br/>@FUL 0 F","58.23","-","-","1","0","0","0","0","1","61","2","0","0"
"*06pdl*","Jens Cajuste","IPS","M","235","FA","WHU 3<br/>@IPS 1 F","58.23","-","-","1","0","0","0","1","0","21","2","0","0"
"*063e8*","Goncalo Guedes","WOL","F","306","FA","BRF 1<br/>@WOL 1 F","58.23","-","-","1","0","0","0","1","0","21","2","0","0"
"*05os4*","Rayan Ait-Nouri","WOL","D,M","39","OSW","BRF 1<br/>@WOL 1 F","58.2","-","-","1","0","0","0","1","0","19","1","1","0"
"*061y6*","Ryan Yates","NOT","M","218","FA","CHE 1<br/>@NOT 0 F","58.07","-","-","1","0","0","0","1","1","19","3","2","0"
"*05trb*","Bryan Mbeumo","BRF","M,F","3","BAR","BRF 1<br/>@WOL 1 F","58.05","-","-","1","0","1","0","0","0","20","1","1","0"
"*061x2*","Darwin Nunez","LIV","F","289","LHO","CRY 1<br/>@LIV 1 F","58","-","-","1","0","0","1","0","0","10","0","2","0"
"*03am7*","Jacob Murphy","NEW","M,F","116","MOV","EVE 1<br/>@NEW 0 F","57.91","-","-","1","0","2","0","0","0","18","1","0","0"
"*02m5b*","Chris Wood","NOT","F","20","SJB","CHE 1<br/>@NOT 0 F","57.83","-","-","1","0","0","0","0","0","11","1","3","0"
"*0626q*","Simon Adingra","BHA","M,F","251","FA","BHA 4<br/>@TOT 1 F","57.79","-","-","1","0","2","0","0","0","10","2","0","0"
"*06f81*","Edson Alvarez","WHU","M","280","FA","WHU 3<br/>@IPS 1 F","57.65","-","-","1","0","1","0","0","0","18","1","1","0"
"*06pib*","Manuel Ugarte","MUN","M","236","ACB","AVL 0<br/>@MUN 2 F","57.56","-","-","1","0","0","0","2","1","30","2","0","0"
"*0522a*","James Bree","SOU","D,M","309","FA","ARS 2<br/>@SOU 1 F","57.45","-","-","1","0","1","0","0","0","17","1","1","0"
"*04hk9*","Mikel Merino","NEW/ARS","M,F","134","MOV","ARS 2<br/>@SOU 1 F","57.42","-","-","1","0","0","1","1","0","4","0","1","0"
"*06mn7*","Lucas Bergvall","TOT","M","266","FA","BHA 4<br/>@TOT 1 F","57.35","-","-","1","0","0","0","1","0","24","1","0","0"
"*05gcp*","Tomas Soucek","WHU","M,F","97","LHO","WHU 3<br/>@IPS 1 F","57.24","-","-","1","0","1","0","0","1","24","2","2","0"
"*06exb*","Rasmus Hojlund","MUN","F","231","FA","AVL 0<br/>@MUN 2 F","56.9","-","-","1","0","1","0","0","0","5","1","2","0"
"*052ca*","Ezri Konsa","AVL","D","99","LHO","AVL 0<br/>@MUN 2 F","56.57","-","-","1","0","0","0","0","0","25","2","0","0"
"*06mow*","Jorgen Strand Larsen","WOL","F","47","LHO","BRF 1<br/>@WOL 1 F","56.44","-","-","1","0","0","1","0","0","4","1","1","0"
"*06clt*","Justin Kluivert","BOU","M,F","60","W_W","LEI 0<br/>@BOU 2 F","56.38","-","-","1","0","3","0","0","1","17","2","0","0"
"*05tr8*","Christian Norgaard","BRF","M","114","MOV","BRF 1<br/>@WOL 1 F","56.32","-","-","1","0","0","0","1","0","17","0","1","0"
"*056iy*","Pedro Neto","CHE","M,F","165","ACB","CHE 1<br/>@NOT 0 F","56.31","-","-","1","0","1","0","0","1","23","4","0","0"
"*04s60*","Jannik Vestergaard","LEI","D","330","FA","LEI 0<br/>@BOU 2 F","56.27","-","-","1","0","0","0","1","1","34","1","1","0"
"*06pih*","Carlos Soler","WHU","M,F","293","FA","WHU 3<br/>@IPS 1 F","56.2","-","-","1","0","1","0","0","0","20","1","0","0"
"*06phv*","Bilal El Khannouss","LEI","M,F","154","PMP","LEI 0<br/>@BOU 2 F","56.19","-","-","1","0","1","0","1","0","15","0","0","0"
"*052k8*","Tommy Doyle","WOL","M","388","FA","BRF 1<br/>@WOL 1 F","56.14","-","-","1","0","0","0","2","0","13","0","0","0"
"*03bwz*","Harry Winks","LEI","M","295","FA","LEI 0<br/>@BOU 2 F","55.74","-","-","1","0","0","0","0","0","19","1","1","0"
"*03ar4*","Adam Armstrong","SOU","M,F","380","FA","ARS 2<br/>@SOU 1 F","55.68","-","-","1","0","1","0","0","0","10","2","0","0"
"*051k0*","John McGinn","AVL","M","195","BAR","AVL 0<br/>@MUN 2 F","55.62","-","-","1","0","0","0","0","0","11","2","1","0"
"*06mfy*","Luke Woolfenden","IPS","D","381","FA","WHU 3<br/>@IPS 1 F","55.61","-","-","1","0","0","0","0","0","35","0","0","0"
"*067yu*","Facundo Buonanotte","LEI","M,F","181","FA","LEI 0<br/>@BOU 2 F","55.44","-","-","1","0","0","0","1","0","7","2","0","0"
"*048xh*","Stephy Mavididi","LEI","M,F","203","FA","LEI 0<br/>@BOU 2 F","55.39","-","-","1","0","1","0","1","0","11","0","0","0"
"*062oq*","Joe Ayodele-Aribo","SOU","D,M","140","FA","ARS 2<br/>@SOU 1 F","55.26","-","-","1","0","0","0","0","0","24","0","1","0"
"*062hb*","Flynn Downes","SOU","D,M","269","FA","ARS 2<br/>@SOU 1 F","55.16","-","-","1","0","0","0","1","0","13","1","0","0"
"*06mx0*","Leny Yoro","MUN","D","357","FA","AVL 0<br/>@MUN 2 F","55.01","-","-","1","0","0","0","2","1","32","0","0","0"
"*06p6j*","Evanilson","BOU","F","76","SJB","LEI 0<br/>@BOU 2 F","54.99","-","-","1","0","0","1","0","0","6","1","0","0"
"*04yo7*","Youri Tielemans","AVL","M,F","28","NIM","AVL 0<br/>@MUN 2 F","54.96","-","-","1","0","0","0","1","0","12","1","0","0"
"*051kl*","Emiliano Buendia","AVL","M","471","FA","AVL 0<br/>@MUN 2 F","54.95","-","-","1","0","0","0","2","0","7","0","0","0"
"*06cm0*","Christopher Nkunku","CHE","M,F","260","FA","CHE 1<br/>@NOT 0 F","54.76","-","-","1","0","0","1","0","0","3","0","1","0"
