"ID","Player","Team","Position","RkOv","Status","Opponent","Score","%D","ADP","Ros","+/-","GP","G","KP","SOT","TkW","DPt2","AP","Int","AER","CSD"
"*043qz*","Pierre-Emile Hojbjerg","TOT","M","93","MOV","TOT 4<br/>@LEI 2 F","64.42","-","-","-","-","2","0","0","0","1","0","90","1","3","0"
"*056iy*","Pedro Neto","WOL","M,F","90","FA","MUN 2<br/>@WOL 1 F","64.35","-","-","-","-","2","0","5","1","0","1","62","1","0","0"
"*02lmo*","Enda Stevens","SHU","D,M","236","FA","BUR 0<br/>@SHU 1 F","64.16","-","-","-","-","2","0","2","0","1","0","48","1","4","0"
"*05rai*","Okay Yokuslu","WBA","M","252","SJB","WBA 1<br/>@LEE 3 F","63.89","-","-","-","-","2","0","1","0","0","1","77","5","2","0"
"*03aoj*","Nemanja Matic","MUN","M","276","FA","MUN 2<br/>@WOL 1 F","63.85","-","-","-","-","1","0","0","1","0","0","91","1","1","0"
"*04fw3*","Alexandre Lacazette","ARS","F","89","NIM","BHA 0<br/>@ARS 2 F","63.7","-","-","-","-","1","1","0","1","0","0","21","0","1","0"
"*03m5c*","Ruben Loftus-Cheek","CHE/FUL","M,F","245","FA","NEW 2<br/>@FUL 0 F","63.65","-","-","-","-","2","0","1","1","1","0","55","0","3","0"
"*05gcx*","Josh Brownhill","BUR","M,F","85","FA","BUR 0<br/>@SHU 1 F","63.61","-","-","-","-","2","0","0","0","0","0","61","3","4","0"
"*05gcp*","Tomas Soucek","WHU","M","17","NIM","SOU 0<br/>@WHU 3 F","63.53","-","-","-","-","1","0","1","0","0","0","33","4","4","0"
"*02oq8*","James Ward-Prowse","SOU","M","11","MOV","SOU 0<br/>@WHU 3 F","63.39","-","-","-","-","1","0","1","0","3","0","55","1","0","0"
"*04fk6*","Bernardo Silva","MCI","M,F","209","FA","EVE 0<br/>@MCI 5 F","63.28","-","-","-","-","1","0","2","1","0","0","59","0","2","0"
"*03sgc*","Jordan Ayew","CRY","M,F","243","FA","CRY 0<br/>@LIV 2 F","62.89","-","-","-","-","2","0","0","1","3","0","43","0","2","0"
"*04fyc*","Charlie Taylor","BUR","D","143","FA","BUR 0<br/>@SHU 1 F","62.83","-","-","-","-","2","0","0","1","1","0","64","1","1","0"
"*051lc*","Pablo Fornals","WHU","M,F","91","NIM","SOU 0<br/>@WHU 3 F","62.79","-","-","-","-","1","0","1","0","2","0","26","3","2","0"
"*051k3*","Jacob Ramsey","AVL","M","395","FA","CHE 1<br/>@AVL 2 F","62.26","-","-","-","-","2","0","1","0","2","0","43","2","1","0"
"*0435u*","Eric Bailly","MUN","D","340","SJB","MUN 2<br/>@WOL 1 F","62.14","-","-","-","-","1","0","0","0","0","0","58","0","3","1"
"*02oq3*","Jay Rodriguez","BUR","F","317","FA","BUR 0<br/>@SHU 1 F","62.07","-","-","-","-","2","0","0","2","2","0","15","0","4","0"
"*04qfy*","Ricardo Pereira","LEI","D,M","296","FUG","TOT 4<br/>@LEI 2 F","62.06","-","-","-","-","2","0","1","0","2","1","53","3","3","0"
"*02lkm*","Jonjo Shelvey","NEW","M","188","SJB","NEW 2<br/>@FUL 0 F","61.97","-","-","-","-","1","0","3","0","1","0","58","0","0","0"
"*035n1*","Bertrand Traore","CHE/AVL","M,F","114","FA","CHE 1<br/>@AVL 2 F","61.93","-","-","-","-","2","0","2","0","2","0","31","1","2","0"
"*05oeh*","Kenny Tete","FUL","D,M","199","FA","NEW 2<br/>@FUL 0 F","61.71","-","-","-","-","1","0","1","0","1","0","41","0","1","1"
"*03jv0*","Sadio Mane","LIV","M,F","23","NIM","CRY 0<br/>@LIV 2 F","61.45","-","-","-","-","2","0","2","0","2","0","42","0","2","0"
"*03r9c*","Cedric Soares","ARS","D,M","357","FA","BHA 0<br/>@ARS 2 F","61.24","-","-","-","-","1","0","0","0","2","0","37","3","1","0"
"*04lax*","Hamza Choudhury","LEI","M","413","FA","TOT 4<br/>@LEI 2 F","61.16","-","-","-","-","1","0","0","1","1","0","33","2","2","0"
"*04mqu*","Aymeric Laporte","MCI","D","202","PNP","EVE 0<br/>@MCI 5 F","60.64","-","-","-","-","1","0","0","0","1","0","101","0","0","0"
"*02m2u*","Gylfi Sigurdsson","EVE","M,F","95","NIM","EVE 0<br/>@MCI 5 F","60.64","-","-","-","-","2","0","5","0","0","0","22","1","0","0"
"*05mxa*","Joel Veltman","BHA","D,M","113","MOV","BHA 0<br/>@ARS 2 F","60.55","-","-","-","-","1","0","0","1","2","0","48","0","1","0"
"*0477b*","Oliver McBurnie","SHU","F","231","FA","BUR 0<br/>@SHU 1 F","60.52","-","-","-","-","2","0","1","0","0","0","11","0","12","0"
"*04tcc*","Jonny","WOL","D,M","403","FA","MUN 2<br/>@WOL 1 F","60.51","-","-","-","-","2","0","1","0","1","0","38","2","2","0"
"*04aj0*","Ademola Lookman","EVE/FUL","M,F","156","FA","NEW 2<br/>@FUL 0 F","60.4","-","-","-","-","2","0","6","0","0","1","57","0","0","0"
"*04civ*","Scott McTominay","MUN","M","130","RED","MUN 2<br/>@WOL 1 F","60.29","-","-","-","-","2","0","1","1","1","0","40","0","2","0"
"*0522r*","Moussa Djenepo","SOU","M","342","FA","SOU 0<br/>@WHU 3 F","60.16","-","-","-","-","1","0","0","0","3","0","22","3","0","0"
"*04s60*","Jannik Vestergaard","SOU","D","53","MOV","SOU 0<br/>@WHU 3 F","60.13","-","-","-","-","1","0","0","1","0","0","42","2","2","0"
"*05746*","Emil Krafth","NEW","D","320","FA","NEW 2<br/>@FUL 0 F","60.03","-","-","-","-","1","0","0","1","0","0","21","3","3","0"
"*04rd1*","Stuart Armstrong","SOU","M","112","FA","SOU 0<br/>@WHU 3 F","59.93","-","-","-","-","1","0","1","0","3","1","57","2","0","0"
"*03ysm*","Daniel Amartey","LEI","D","346","FA","TOT 4<br/>@LEI 2 F","59.77","-","-","-","-","2","0","0","0","2","0","73","0","0","0"
"*04rhd*","Fabinho","LIV","D,M","131","PNP","CRY 0<br/>@LIV 2 F","59.72","-","-","-","-","1","0","0","0","0","0","61","2","2","0"
"*05gco*","Pablo Mari","ARS","D","307","FA","BHA 0<br/>@ARS 2 F","59.72","-","-","-","-","1","0","1","0","1","0","46","1","2","0"
"*04e1e*","Ben White","BHA","D,M","86","BAR","BHA 0<br/>@ARS 2 F","59.67","-","-","-","-","1","0","0","0","0","0","55","3","1","0"
"*04sft*","Yves Bissouma","BHA","M","132","SJB","BHA 0<br/>@ARS 2 F","59.65","-","-","-","-","1","0","1","0","0","0","59","1","2","0"
"*04qrd*","Ivan Cavaleiro","FUL","M,F","138","FA","NEW 2<br/>@FUL 0 F","59.38","-","-","-","-","2","0","5","0","0","0","26","0","0","0"
"*04u6m*","Bernard","EVE","M,F","394","FA","EVE 0<br/>@MCI 5 F","59.3","-","-","-","-","1","0","1","0","1","0","44","2","0","0"
"*056iw*","Allan Saint-Maximin","NEW","M,F","255","PMP","NEW 2<br/>@FUL 0 F","59.04","-","-","-","-","1","0","4","0","0","0","19","1","1","0"
"*056mf*","Neal Maupay","BHA","F","164","FA","BHA 0<br/>@ARS 2 F","59.02","-","-","-","-","1","0","2","2","0","0","21","0","0","0"
"*04fk8*","Victor Lindelof","MUN","D","92","PNP","MUN 2<br/>@WOL 1 F","58.94","-","-","-","-","1","0","0","0","0","0","44","0","2","1"
"*02lni*","Jesse Lingard","MUN/WHU","M,F","208","PNP","SOU 0<br/>@WHU 3 F","58.76","-","-","-","-","1","0","2","1","0","0","29","1","0","0"
"*03mga*","Darnell Furlong","WBA","D,M","96","FA","WBA 1<br/>@LEE 3 F","58.76","-","-","-","-","2","0","2","0","1","1","30","0","3","1"
"*04agz*","Declan Rice","WHU","M","58","NIM","SOU 0<br/>@WHU 3 F","58.75","-","-","-","-","1","0","0","0","1","0","42","3","0","0"
"*05ra4*","Mbaye Diagne","WBA","F","300","FA","WBA 1<br/>@LEE 3 F","58.74","-","-","-","-","2","0","0","1","0","0","17","0","8","0"
"*048xm*","Josh Maja","SUN/FUL","F","334","FA","NEW 2<br/>@FUL 0 F","58.66","-","-","-","-","2","0","1","1","1","0","34","0","1","0"
"*02oo1*","Ben Davies","TOT","D","241","FA","TOT 4<br/>@LEI 2 F","58.54","-","-","-","-","1","0","0","0","1","0","14","1","2","1"
"*02lsa*","Dan Burn","BHA","D,M","135","BAR","BHA 0<br/>@ARS 2 F","58.23","-","-","-","-","1","0","0","0","1","0","24","3","2","0"
"*02lkp*","Raheem Sterling","MCI","M,F","82","ADB","EVE 0<br/>@MCI 5 F","57.8","-","-","-","-","1","0","1","1","0","0","30","1","1","0"
"*05n02*","Stuart Dallas","LEE","D,M","27","SJB","WBA 1<br/>@LEE 3 F","57.73","-","-","-","-","1","0","0","0","2","0","46","1","0","0"
"*02m4d*","Craig Dawson","WAT/WHU","D","190","NIM","SOU 0<br/>@WHU 3 F","57.52","-","-","-","-","1","0","0","0","0","0","47","2","2","0"
"*0520r*","Leandro Trossard","BHA","M,F","111","RED","BHA 0<br/>@ARS 2 F","57.51","-","-","-","-","1","0","1","1","1","0","33","0","0","0"
"*03ena*","Aaron Cresswell","WHU","D","71","NOAD","SOU 0<br/>@WHU 3 F","57.1","-","-","-","-","1","0","2","0","0","0","42","1","0","0"
"*02rmd*","Matt Phillips","WBA","M","264","FA","WBA 1<br/>@LEE 3 F","57.09","-","-","-","-","2","0","1","1","1","0","24","0","1","0"
"*0435t*","Ilkay Gundogan","MCI","M","31","BAR","EVE 0<br/>@MCI 5 F","56.72","-","-","-","-","2","0","0","1","0","0","57","0","0","0"
"*043by*","Nampalys Mendy","LEI","M","325","FA","TOT 4<br/>@LEI 2 F","56.52","-","-","-","-","1","0","1","0","1","0","44","0","1","0"
"*037mo*","Willian","ARS","M,F","278","FA","BHA 0<br/>@ARS 2 F","56.39","-","-","-","-","1","0","3","0","0","0","34","0","0","0"
"*05os9*","Thomas Partey","ARS","M","256","RED","BHA 0<br/>@ARS 2 F","56.3","-","-","-","-","1","0","1","1","1","0","19","0","1","0"
"*0327p*","John Lundstram","SHU","M","341","FA","BUR 0<br/>@SHU 1 F","56.29","-","-","-","-","2","0","0","0","1","0","56","0","1","0"
"*05os7*","Raphinha","LEE","M,F","79","ADB","WBA 1<br/>@LEE 3 F","56.15","-","-","-","-","1","0","4","0","0","0","19","0","0","0"
"*05ojg*","Nelson Semedo","WOL","D,M","84","RED","MUN 2<br/>@WOL 1 F","55.79","-","-","-","-","2","0","0","0","0","0","48","1","2","0"
"*05o6w*","Allan","EVE","M","246","PMP","EVE 0<br/>@MCI 5 F","55.76","-","-","-","-","2","0","0","0","1","0","47","1","0","0"
"*04mi4*","Callum Hudson-Odoi","CHE","M,F","258","FA","CHE 1<br/>@AVL 2 F","55.44","-","-","-","-","1","0","2","0","1","0","16","1","0","0"
"*04spy*","Mason Greenwood","MUN","M,F","198","SJB","MUN 2<br/>@WOL 1 F","55.19","-","-","-","-","2","0","0","0","1","0","49","0","1","0"
"*04io3*","Mario Lemina","FUL","M","218","FA","NEW 2<br/>@FUL 0 F","55.15","-","-","-","-","1","0","0","1","0","0","33","1","0","0"
"*04gyz*","Jairo Riedewald","CRY","D,M","284","FA","CRY 0<br/>@LIV 2 F","54.93","-","-","-","-","2","0","0","0","1","1","27","4","2","0"
"*051kd*","Jamal Lewis","NEW","D","302","FA","NEW 2<br/>@FUL 0 F","54.66","-","-","-","-","1","0","0","0","1","0","40","1","0","0"
