"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","KP","SOT","TkW","DPt2","AP","CoSF","AER","CSD"
"*03scr*","Aleksandar Mitrovic","FUL","F","39","KLI","FUL 1<br/>@MUN 2 F","100","-","-","1","2","1","2","0","0","10","6","11","0"
"*04tig*","Fabian Schar","NEW","D","35","RED","NEW 1<br/>@CHE 1 F","89.27","-","-","1","1","1","1","0","0","37","2","4","1"
"*04yo7*","Youri Tielemans","LEI","M","85","NIM","WHU 1<br/>@LEI 2 F","84.77","-","-","1","0","1","2","1","0","66","2","5","0"
"*0554i*","Joelinton","NEW","M,F","30","KLI","NEW 1<br/>@CHE 1 F","84.63","-","-","1","0","3","2","1","0","48","7","1","0"
"*05ylj*","Bruno Guimaraes","NEW","M","59","MOV","NEW 1<br/>@CHE 1 F","82.63","-","-","1","0","3","0","2","0","64","9","0","0"
"*0372y*","Matt Targett","NEW","D,M","290","FA","NEW 1<br/>@CHE 1 F","80.09","-","-","1","0","3","0","3","0","41","1","1","1"
"*061vq*","Erling Haaland","MCI","F","20","MOV","MCI 0<br/>@BRF 1 F","79.91","-","-","1","2","0","2","0","0","21","1","0","0"
"*04fk1*","Pascal Gross","BHA","D,M,F","26","SJB","BHA 1<br/>@AVL 2 F","79.86","-","-","1","2","1","2","0","0","17","0","0","0"
"*061x2*","Darwin Nunez","LIV","F","101","FA","LIV 4<br/>@SOU 4 F","79.72","-","-","1","1","2","3","0","0","5","0","3","0"
"*05o4c*","Timothy Castagne","LEI","D,M","60","MOV","WHU 1<br/>@LEI 2 F","78.34","-","-","1","1","1","1","0","0","35","0","4","0"
"*02oq8*","James Ward-Prowse","SOU","M","21","ADB","LIV 4<br/>@SOU 4 F","78.08","-","-","1","1","4","1","1","0","32","0","0","0"
"*05os4*","Rayan Ait-Nouri","WOL","D,M","213","FA","WOL 0<br/>@ARS 5 F","77.92","-","-","1","0","3","0","2","0","52","7","0","0"
"*04s8k*","Jorginho","CHE/ARS","M","143","NIM","WOL 0<br/>@ARS 5 F","77.57","-","-","1","1","1","1","0","0","60","1","1","0"
"*043c1*","Oleksandr Zinchenko","ARS","D,M","92","RED","WOL 0<br/>@ARS 5 F","76.99","-","-","1","0","2","1","1","0","39","0","2","1"
"*03v6w*","Ivan Toney","BRF","F","9","FA","MCI 0<br/>@BRF 1 F","76.75","-","-","1","1","2","1","0","0","17","0","4","0"
"*05gcq*","Daniel Podence","WOL","M,F","138","FA","WOL 0<br/>@ARS 5 F","76.64","-","-","1","1","3","1","1","0","29","1","0","0"
