"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","A","SOT","TkW","DPt2","AP","CoSF","AER","CSD"
"*0522s*","Che Adams","SOU","F","60","FA","SOU 1<br/>@LEI 4 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05uel*","Kristoffer Ajer","BRF","D","209","FA","LEE 2<br/>@BRF 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*02y6o*","Nathan Ake","MCI","D","216","FA","AVL 2<br/>@MCI 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05ogg*","Ajibola Alese","WHU","D","538","FA","WHU 1<br/>@BHA 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05o6w*","Allan","EVE","M","261","SJB","EVE 1<br/>@ARS 5 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*03ysm*","Daniel Amartey","LEI","D","265","FA","SOU 1<br/>@LEI 4 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05os8*","Joachim Andersen","CRY","D","108","RED","MUN 0<br/>@CRY 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05opj*","Elliot Anderson","NEW","M","542","FA","NEW 2<br/>@BUR 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*04gs4*","Mathias Antonsen Normann","BHA/NOR","M","266","MOV","TOT 5<br/>@NOR 0 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05y5a*","Keenan Appiah-Forson","WHU","M","545","FA","WHU 1<br/>@BHA 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*058vb*","Cameron Archer","AVL","F","499","FA","AVL 2<br/>@MCI 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*04rd1*","Stuart Armstrong","SOU","M,F","240","ADB","SOU 1<br/>@LEI 4 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05ogh*","Harrison Ashby","WHU","D","504","FA","WHU 1<br/>@BHA 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*04mqy*","Pierre-Emerick Aubameyang","ARS","M,F","285","FA","EVE 1<br/>@ARS 5 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05udj*","Kwadwo Baah","WAT","M","552","FA","WAT 1<br/>@CHE 2 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05uns*","Leon Bailey","AVL","M,F","341","FA","AVL 2<br/>@MCI 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05x13*","James Balagizi","LIV","M","554","FA","WOL 1<br/>@LIV 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*059iq*","Folarin Balogun","ARS","F","477","FA","EVE 1<br/>@ARS 5 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*03ek4*","Patrick Bamford","LEE","F","392","FA","LEE 2<br/>@BRF 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05lfr*","Scott Banks","CRY","F","557","FA","MUN 0<br/>@CRY 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05r4v*","Jamal Baptiste","WHU","D","558","FA","WHU 1<br/>@BHA 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*02m5c*","Phil Bardsley","BUR","D","559","FA","NEW 2<br/>@BUR 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*02lpf*","Ross Barkley","CHE","M","409","FA","WAT 1<br/>@CHE 2 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*03dxr*","Ashley Barnes","BUR","F","346","ADB","NEW 2<br/>@BUR 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05lus*","Lewis Bate","CHE/LEE","M","472","FA","LEE 2<br/>@BRF 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05tr4*","Mads Bech Sorensen","BRF","D","396","FA","LEE 2<br/>@BRF 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05uhi*","Owen Beck","LIV","D","560","FA","WOL 1<br/>@LIV 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*04u6g*","Filip Benkovic","LEI","D","562","FA","SOU 1<br/>@LEI 4 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*02m79*","Ryan Bertrand","LEI","D","451","FA","SOU 1<br/>@LEI 4 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05tri*","Mads Bidstrup","BRF","M","496","FA","LEE 2<br/>@BRF 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05xtt*","Harvey Blair","LIV","F","567","FA","WOL 1<br/>@LIV 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05r4h*","Lamare Bogarde","AVL","M","570","FA","AVL 2<br/>@MCI 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*04qr0*","Willy Boly","WOL","D","329","NOAD","WOL 1<br/>@LIV 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05uhj*","Conor Bradley","LIV","M","572","FA","WOL 1<br/>@LIV 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05l27*","Jarrad Branthwaite","EVE","D","440","FA","EVE 1<br/>@ARS 5 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05y63*","Lewis Brunt","LEI","M","483","FA","SOU 1<br/>@LEI 4 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05raa*","Hugo Bueno","WOL","D","574","FA","WOL 1<br/>@LIV 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05uhr*","Finley Burns","MCI","D","575","FA","AVL 2<br/>@MCI 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
