"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","A","SOT","TkW","DPt2","AP","CoSF","AER","CSD"
"*03jv0*","Sadio Mane","LIV","F","13","BAR","WOL 1<br/>@LIV 3 F","100","-","-","2","3","0","4","1","0","78","7","2","0"
"*03aqp*","Mohamed Salah","LIV","F","2","FUG","WOL 1<br/>@LIV 3 F","98.07","-","-","2","3","1","7","0","0","79","4","0","0"
"*05yld*","Luis Diaz","LIV","F","194","ADB","WOL 1<br/>@LIV 3 F","88.43","-","-","2","1","0","3","1","0","78","10","4","0"
"*03vlj*","Virgil van Dijk","LIV","D","35","PMP","WOL 1<br/>@LIV 3 F","88.03","-","-","2","1","0","2","0","0","167","2","7","1"
"*05os9*","Thomas Partey","ARS","M","167","FA","EVE 1<br/>@ARS 5 F","87.89","-","-","2","0","1","1","4","0","101","8","4","0"
"*0327v*","Wilfried Zaha","CRY","M,F","26","BAR","MUN 0<br/>@CRY 1 F","87.73","-","-","2","2","0","2","3","0","49","10","0","0"
"*02lol*","Harry Kane","TOT","F","3","PMP","TOT 5<br/>@NOR 0 F","83.53","-","-","2","2","0","3","0","0","38","4","5","0"
"*03dx7*","Ben Mee","BUR","D","203","FA","NEW 2<br/>@BUR 1 F","81.9","-","-","2","1","0","2","1","0","42","2","4","2"
"*0435s*","Joel Matip","LIV","D","21","FUG","WOL 1<br/>@LIV 3 F","81.86","-","-","2","1","0","1","2","0","147","0","4","1"
"*05ylv*","Wout Weghorst","BUR","F","239","SJB","NEW 2<br/>@BUR 1 F","78.54","-","-","2","1","1","1","2","0","29","5","4","0"
"*02ygz*","Moussa Sissoko","TOT/WAT","M","119","FA","WAT 1<br/>@CHE 2 F","78.03","-","-","2","1","0","1","2","0","45","4","6","0"
"*05w91*","Hwang Hee-Chan","WOL","F","160","FA","WOL 1<br/>@LIV 3 F","75.28","-","-","2","1","0","2","3","0","30","4","3","0"
"*032ab*","Erik Pieters","BUR","D","356","FA","NEW 2<br/>@BUR 1 F","73.89","-","-","2","0","0","0","4","0","37","0","5","2"
"*05gcx*","Josh Brownhill","BUR","M","179","NOAD","NEW 2<br/>@BUR 1 F","73.78","-","-","2","1","1","2","3","1","60","2","1","0"
"*05ylx*","Dejan Kulusevski","TOT","M,F","178","NOAD","TOT 5<br/>@NOR 0 F","73.75","-","-","2","1","1","1","2","0","46","2","2","0"
