"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","A","SOT","TkW","DPt2","AP","Int","BR","CSD"
"*052h7*","Robbie Burton","ARS","M","500","FA","WAT 2<br/>@ARS 3 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*03ysd*","Sam Byram","NOR","D","261","FA","NOR 0<br/>@MCI 5 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*036nb*","Etienne Capoue","WAT","M","84","KLI","WAT 2<br/>@ARS 3 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*03r9c*","Cedric Soares","SOU/ARS","D,M","206","FA","WAT 2<br/>@ARS 3 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04spx*","Tahith Chong","MUN","M,F","449","FA","MUN 2<br/>@LEI 0 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04lax*","Hamza Choudhury","LEI","M","335","FA","MUN 2<br/>@LEI 0 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*030v5*","Andreas Christensen","CHE","D","207","PNP","WOL 0<br/>@CHE 2 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*02lx5*","Leon Clarke","SHU","F","461","FA","SHU 1<br/>@SOU 3 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*059j2*","Leighton Clarkson","LIV","M","510","FA","LIV 3<br/>@NEW 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*02lmz*","Tom Cleverley","WAT","M","320","FA","WAT 2<br/>@ARS 3 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*058vd*","Alex Cochrane","BHA","D","512","FA","BHA 2<br/>@BUR 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*02lpl*","Seamus Coleman","EVE","D","175","FA","BOU 3<br/>@EVE 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*043qy*","Lewis Cook","BOU","M","294","FA","BOU 3<br/>@EVE 1 F","48.72","-","-","1","0","0","0","0","0","0","0","0","0"
"*04xjt*","Conor Coventry","WHU","M","515","FA","AVL 1<br/>@WHU 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*052k1*","Luke Cundle","WOL","M","517","FA","WOL 0<br/>@CHE 2 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*03r8k*","Charlie Daniels","BOU","D","432","FA","BOU 3<br/>@EVE 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*055sf*","Arnaut Danjuma Groeneveld","BOU","M,F","378","FA","BOU 3<br/>@EVE 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*02lzx*","Scott Dann","CRY","D","258","FA","TOT 1<br/>@CRY 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*03yuo*","Keinan Davis","AVL","M,F","404","FA","AVL 1<br/>@WHU 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*03ra1*","Troy Deeney","WAT","F","167","RED","WAT 2<br/>@ARS 3 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*02lpn*","Eric Dier","TOT","D,M","285","SJB","TOT 1<br/>@CRY 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04qfz*","Diogo Dalot","MUN","D,M","415","FA","MUN 2<br/>@LEI 0 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*052k7*","Alpha Richard Dionkou","MCI","D","524","FA","NOR 0<br/>@MCI 5 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*03dye*","Daniel Drinkwater","BUR/CHE/AVL","M","392","FA","AVL 1<br/>@WHU 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*032f5*","Paul Dummett","NEW","D","295","FA","LIV 3<br/>@NEW 1 F","48.72","-","-","1","0","0","0","0","0","0","0","0","0"
"*04xjr*","Harvey Elliott","LIV","M","452","FA","LIV 3<br/>@NEW 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04rhd*","Fabinho","LIV","M","117","PNP","LIV 3<br/>@NEW 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*059tu*","Akin Famewo","NOR","D","466","FA","NOR 0<br/>@MCI 5 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*051lc*","Pablo Fornals","WHU","M","122","FA","AVL 1<br/>@WHU 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*03yxt*","Timothy Fosu-Mensah","MUN","D","416","FA","MUN 2<br/>@LEI 0 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04rf3*","Dimitri Foulquier","WAT","D","443","FA","WAT 2<br/>@ARS 3 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*03r8h*","Simon Francis","BOU","D","351","FA","BOU 3<br/>@EVE 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*051l2*","Kieron Freeman","SHU","D","465","FA","SHU 1<br/>@SOU 3 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*02lyo*","Luke Freeman","SHU","M","395","FA","SHU 1<br/>@SOU 3 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*03rle*","Christian Fuchs","LEI","D","302","FA","MUN 2<br/>@LEI 0 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04spn*","Eric Garcia","MCI","D","259","PMP","NOR 0<br/>@MCI 5 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04spw*","James Garner","MUN","M","448","FA","MUN 2<br/>@LEI 0 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*0329o*","Dwight Gayle","NEW","F","329","FA","LIV 3<br/>@NEW 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*056iu*","Jean-Philippe Gbamin","EVE","M","424","FA","BOU 3<br/>@EVE 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04qr9*","Morgan Gibbs-White","WOL","M","431","FA","WOL 0<br/>@CHE 2 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04360*","Ben Gibson","BUR","D","535","FA","BHA 2<br/>@BUR 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*052cc*","Billy Gilmour","CHE","M","401","FA","WOL 0<br/>@CHE 2 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*02ope*","Olivier Giroud","CHE","F","275","PMP","WOL 0<br/>@CHE 2 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*03r93*","Joseph Gomez","LIV","D","111","BAR","LIV 3<br/>@NEW 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*056pd*","Goncalo Cardoso","WHU","D","627","FA","AVL 1<br/>@WHU 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*02ltx*","Dan Gosling","BOU","M","262","FA","BOU 3<br/>@EVE 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*02lm7*","Jack Grealish","AVL","M,F","50","MOV","AVL 1<br/>@WHU 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*044ej*","Johann Gudmundsson","BUR","M","371","FA","BHA 2<br/>@BUR 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*059iv*","Peter Gwargis","BHA","M","540","FA","BHA 2<br/>@BUR 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*02m08*","Grant Hanley","NOR","D","276","FA","NOR 0<br/>@MCI 5 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*052k6*","Taylor Harwood-Bellis","MCI","D","542","FA","NOR 0<br/>@MCI 5 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04qr4*","Kortney Hause","AVL","D","252","FA","AVL 1<br/>@WHU 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*051kf*","Philip Heise","NOR","D","544","FA","NOR 0<br/>@MCI 5 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04yjx*","Ki-Jana Hoever","LIV","D","549","FA","LIV 3<br/>@NEW 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*044nm*","Rob Holding","ARS","D","376","FA","WAT 2<br/>@ARS 3 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*03rn2*","Jose Holebas","WAT","D","368","FA","WAT 2<br/>@ARS 3 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04c39*","Nathan Holland","WHU","M","442","FA","AVL 1<br/>@WHU 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*056zd*","Adam Idah","NOR","F","427","FA","NOR 0<br/>@MCI 5 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*03g40*","Kelechi Iheanacho","LEI","F","274","FA","MUN 2<br/>@LEI 0 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04itp*","Jose Izquierdo","BHA","M,F","551","FA","BHA 2<br/>@BUR 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04t92*","Alireza Jahanbakhsh","BHA","M,F","387","FA","BHA 2<br/>@BUR 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*02lnb*","Matty James","LEI","M","459","FA","MUN 2<br/>@LEI 0 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
