"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","KP","SOT","TkW","DPt2","AP","CoSF","AER","CSD"
"*02lol*","Harry Kane","TOT","F","1","KLI","TOT 4<br/>@LEE 1 F","100","-","-","38","30","57","63","12","6","613","96","66","0"
"*04y92*","Bukayo Saka","ARS","M,F","5","LHO","WOL 0<br/>@ARS 5 F","93","-","-","38","14","75","32","34","6","999","128","16","0"
"*03aqp*","Mohamed Salah","LIV","M,F","6","NOAD","LIV 4<br/>@SOU 4 F","92.53","-","-","38","19","65","47","12","2","875","83","8","0"
"*05r9b*","Martin Odegaard","ARS","M,F","7","PMP","WOL 0<br/>@ARS 5 F","91.63","-","-","37","15","76","33","23","4","1,418","74","14","0"
"*03v6w*","Ivan Toney","BRF","F","9","FA","MCI 0<br/>@BRF 1 F","90.15","-","-","33","20","27","42","13","9","456","90","109","0"
"*05gcr*","Bruno Fernandes","MUN","M,F","10","NIM","FUL 1<br/>@MUN 2 F","88.82","-","-","37","8","119","35","42","6","1,442","71","19","0"
"*0522h*","Alexis Mac Allister","BHA","M,F","11","NIM","BHA 1<br/>@AVL 2 F","88.01","-","-","35","10","47","34","39","8","1,573","99","25","0"
"*052h5*","Gabriel Martinelli","ARS","M,F","12","FA","WOL 0<br/>@ARS 5 F","87.68","-","-","36","15","59","32","18","3","805","97","15","0"
"*04e1k*","Solly March","BHA","M,F","13","NOAD","BHA 1<br/>@AVL 2 F","87.29","-","-","33","7","67","34","31","2","865","97","30","0"
"*05nt6*","Eberechi Eze","CRY","M,F","15","NOAD","NOT 1<br/>@CRY 1 F","85.08","-","-","38","10","57","26","24","3","892","128","19","0"
"*03dx3*","Kieran Trippier","NEW","D","16","NIM","NEW 1<br/>@CHE 1 F","84.49","-","-","38","1","110","4","49","5","1,568","48","49","14"
"*05ocl*","Ollie Watkins","AVL","M,F","18","BAR","BHA 1<br/>@AVL 2 F","83.87","-","-","37","15","31","47","13","4","385","57","70","0"
"*03ybi*","Marcus Rashford","MUN","M,F","19","BAR","FUL 1<br/>@MUN 2 F","83.15","-","-","35","17","30","50","10","2","613","77","20","0"
"*061vq*","Erling Haaland","MCI","F","20","MOV","MCI 0<br/>@BRF 1 F","82.39","-","-","35","36","30","60","2","5","359","35","50","0"
