"Player","Team","Position","From","To","Date (CEST)","Gameweek"
"Sadio Mane","LIV","M,F","BarcelOna '53","Nimma Koempels","Wed Jun 10, 2020, 1:20PM","30"
"Ricardo Pereira","LEI","D,M","Nimma Koempels","BarcelOna '53","Wed Jun 10, 2020, 1:20PM","30"
"Ricardo Pereira","LEI","D,M","BarcelOna '53","Nimma Koempels","Mon Jun 8, 2020, 1:12PM","30"
"Sadio Mane","LIV","M,F","Nimma Koempels","BarcelOna '53","Mon Jun 8, 2020, 1:12PM","30"
"Aaron Wan-Bissaka","MUN","D,M","Athletic de Bapao","BarcelOna '53","Thu Feb 13, 2020, 9:36AM","27"
"Pierre-Emerick Aubameyang","ARS","M,F","BarcelOna '53","Athletic de Bapao","Thu Feb 13, 2020, 9:36AM","27"
"Gylfi Sigurdsson","EVE","M,F","Nimma Koempels","Sjeeterboys","Sat Jan 18, 2020, 11:42AM","23"
"Sebastien Haller","WHU","F","Sjeeterboys","Nimma Koempels","Sat Jan 18, 2020, 11:42AM","23"
"Jan Bednarek","SOU","D","Klimmania","Nimma Koempels","Sat Jan 18, 2020, 10:12AM","23"
"Luke Shaw","MUN","D","Nimma Koempels","Klimmania","Sat Jan 18, 2020, 10:12AM","23"
"Lewis Dunk","BHA","D","Athletic de Bapao","Klimmania","Thu Oct 31, 2019, 10:00PM","11"
"Georginio Wijnaldum","LIV","M","Klimmania","Athletic de Bapao","Thu Oct 31, 2019, 10:00PM","11"
"Dale Stephens","BHA","M","BarcelOna '53","SSC Fugazi","Thu Oct 17, 2019, 9:02AM","9"
"Paul Pogba","MUN","M","SSC Fugazi","BarcelOna '53","Thu Oct 17, 2019, 9:02AM","9"
"Gylfi Sigurdsson","EVE","M,F","Klimmania","Nimma Koempels","Mon Oct 14, 2019, 10:34AM","9"
"Rúben Neves","WOL","M","Nimma Koempels","Klimmania","Mon Oct 14, 2019, 10:34AM","9"
"Declan Rice","WHU","M","Klimmania","Sjeeterboys","Thu Oct 10, 2019, 12:59PM","9"
"Patrick van Aanholt","CRY","D","Sjeeterboys","Klimmania","Thu Oct 10, 2019, 12:59PM","9"
"Mason Mount","CHE","M,F","Nimma Koempels","Sjeeterboys","Mon Sep 2, 2019, 5:37PM","5"
"Bernardo Silva","MCI","M,F","Sjeeterboys","Nimma Koempels","Mon Sep 2, 2019, 5:37PM","5"
"Che Adams","SOU","F","Athletic de Bapao","Nimma Koempels","Wed Aug 14, 2019, 9:50AM","2"
"Divock Origi","LIV","F","Nimma Koempels","Athletic de Bapao","Wed Aug 14, 2019, 9:50AM","2"
