"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","A","SOT","TkW","DPt2","AP","Int","BR","CSD"
"*04rhd*","Fabinho","LIV","M","117","PNP","LIV 3<br/>@NEW 1 F","62.75","-","-","28","2","3","4","35","6","1,373","34","157","0"
"*02lkm*","Jonjo Shelvey","NEW","M","118","FA","LIV 3<br/>@NEW 1 F","62.48","-","-","26","6","2","14","19","3","803","23","139","0"
"*02lun*","Sergio Aguero","MCI","F","119","RED","NOR 0<br/>@MCI 5 F","62.33","-","-","24","16","3","28","4","1","285","3","37","0"
"*0327o*","Gerard Deulofeu","WAT","M,F","120","FA","WAT 2<br/>@ARS 3 F","62.11","-","-","28","4","5","21","16","3","578","25","126","0"
"*04spp*","Douglas Luiz","AVL","M","121","FA","AVL 1<br/>@WHU 1 F","61.96","-","-","36","3","2","12","24","8","998","36","205","0"
"*051lc*","Pablo Fornals","WHU","M","122","FA","AVL 1<br/>@WHU 1 F","61.93","-","-","36","2","5","11","28","3","664","25","155","0"
"*04civ*","Scott McTominay","MUN","M","123","FA","MUN 2<br/>@LEI 0 F","61.57","-","-","27","4","1","10","22","2","818","31","147","0"
"*051kz*","George Baldock","SHU","D,M","124","FA","SHU 1<br/>@SOU 3 F","61.55","-","-","38","2","3","5","43","7","849","34","167","0"
"*03v6s*","Mason Holgate","EVE","D","125","FA","BOU 3<br/>@EVE 1 F","61.32","-","-","27","0","3","5","26","5","891","34","126","7"
"*05gcr*","Bruno Fernandes","MUN","M,F","126","ADB","MUN 2<br/>@LEI 0 F","61.31","-","-","14","8","7","18","12","2","588","11","67","0"
"*051kg*","Max Aarons","NOR","D","128","FA","NOR 0<br/>@MCI 5 F","60.74","-","-","36","0","1","4","30","7","1,056","37","178","5"
"*04qqv*","Fred","MUN","M","129","FA","MUN 2<br/>@LEI 0 F","60.34","-","-","29","0","0","10","32","8","1,459","38","234","0"
"*02oq7*","Jack Stephens","SOU","D","130","FA","SHU 1<br/>@SOU 3 F","60.26","-","-","28","1","3","2","27","7","924","31","140","7"
"*03rec*","Tyrone Mings","AVL","D","131","ADB","AVL 1<br/>@WHU 1 F","60.26","-","-","33","2","2","4","11","7","1,079","30","201","6"
"*02m79*","Ryan Bertrand","SOU","D,M","132","RED","SHU 1<br/>@SOU 3 F","60.24","-","-","32","1","1","3","29","6","934","37","118","7"
"*04ami*","Luka Milivojevic","CRY","M","133","BAR","TOT 1<br/>@CRY 1 F","60.23","-","-","31","3","1","9","32","12","1,175","42","179","0"
"*051ks*","Teemu Pukki","NOR","F","134","FA","NOR 0<br/>@MCI 5 F","60.04","-","-","36","11","3","35","6","3","422","6","62","0"
"*03jab*","Federico Fernandez","NEW","D","135","RED","LIV 3<br/>@NEW 1 F","59.99","-","-","32","2","2","7","25","8","855","24","128","9"
"*03srm*","N'Golo Kante","CHE","M","136","FA","WOL 0<br/>@CHE 2 F","59.94","-","-","22","3","0","6","20","4","963","44","158","0"
"*04mqz*","Lucas Moura","TOT","M,F","137","PNP","TOT 1<br/>@CRY 1 F","59.85","-","-","35","4","4","14","33","3","568","15","110","0"
"*04qr8*","Diogo Jota","WOL","M,F","138","FA","WOL 0<br/>@CHE 2 F","59.69","-","-","34","7","1","26","15","4","671","9","123","0"
"*03rxb*","Angelo Ogbonna","WHU","D","139","FA","AVL 1<br/>@WHU 1 F","59.58","-","-","31","2","0","4","24","4","744","27","141","7"
"*02m7w*","David Luiz","ARS","D","140","BAR","WAT 2<br/>@ARS 3 F","59.57","-","-","33","2","1","8","16","11","1,531","32","128","8"
"*02m5b*","Chris Wood","BUR","F","141","SJB","BHA 2<br/>@BUR 1 F","59.46","-","-","32","14","1","31","4","1","290","4","50","0"
"*04u41*","Mateo Kovacic","CHE","M","142","PNP","WOL 0<br/>@CHE 2 F","59.44","-","-","31","1","3","5","38","8","1,675","22","174","0"
"*02lof*","Ryan Fredericks","WHU","D","143","FA","AVL 1<br/>@WHU 1 F","59.41","-","-","27","0","3","0","56","7","634","24","113","7"
"*04qos*","Issa Diop","WHU","D","144","FA","AVL 1<br/>@WHU 1 F","59.18","-","-","32","3","1","7","15","8","760","47","145","5"
"*03ull*","Nicolas Otamendi","MCI","D","145","FA","NOR 0<br/>@MCI 5 F","59.1","-","-","24","2","0","7","14","3","1,416","21","84","9"
"*02oqi*","Jan Vertonghen","TOT","D","146","FA","TOT 1<br/>@CRY 1 F","58.84","-","-","23","1","1","2","24","2","912","33","108","5"
"*0558o*","Dani Ceballos","ARS","M","147","SJB","WAT 2<br/>@ARS 3 F","58.65","-","-","24","0","2","3","23","1","1,100","32","153","0"
"*04sav*","Felipe Anderson","WHU","M,F","148","KLI","AVL 1<br/>@WHU 1 F","58.65","-","-","25","1","4","8","32","1","705","22","112","0"
"*051l5*","John Fleck","SHU","M","149","FA","SHU 1<br/>@SOU 3 F","58.63","-","-","30","5","2","11","25","8","802","24","169","0"
"*032ab*","Erik Pieters","BUR","D,M","150","FA","BHA 2<br/>@BUR 1 F","58.61","-","-","24","0","4","3","32","2","537","28","97","6"
