"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","KP","SOT","TkW","DPt2","AP","CoSF","AER","CSD"
"*06uzx*","Isaac Schmidt","LEE","D","842","FA","","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06on5*","Leo Shahar","NEW","D","844","FA","@ARS Sat 6:30PM","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06po8*","Martin Sherif","EVE","F","846","FA","@WHU Sat 4:00PM","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*073b0*","Ollie Shield","BRF","D","847","FA","@MUN Mon 9:00PM","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06xzp*","Luis Hemir Silva Semedo","SUN","F","848","FA","NOT 5<br/>@SUN 0 F","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*062cj*","Abdallah Sima","BHA","F","849","FA","","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06s7r*","Freddie Simmonds","BHA","D","850","FA","","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*0700r*","Jimmy Sinclair","NOT","M","851","FA","NOT 5<br/>@SUN 0 F","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*062h9*","Luis Sinisterra","BOU","F","852","FA","","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*070hm*","Luis Eduardo Soares da Silva","NOT","D","855","FA","NOT 5<br/>@SUN 0 F","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06329*","Manor Solomon","TOT","F","856","FA","@WOL Sat 4:00PM","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*03v9d*","Son Heung-Min","TOT","M,F","857","FA","@WOL Sat 4:00PM","0","10%","0%","0","0","0","0","0","0","0","0","0","0"
"*06mmk*","Marko Stamenic","NOT","M","858","FA","NOT 5<br/>@SUN 0 F","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06zqi*","Joshua Stephenson","BRF","D","860","FA","@MUN Mon 9:00PM","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06nl8*","Luca Stephenson","LIV","M","861","FA","CRY Sat 4:00PM","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02lkp*","Raheem Sterling","CHE","F","862","FA","","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*072p7*","Charlie Stevens","BOU","M","863","FA","","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*072iv*","Ethan Sutherland","WOL","M","864","FA","TOT Sat 4:00PM","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06ya6*","Kota Takai","TOT","D","865","FA","@WOL Sat 4:00PM","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*0372y*","Matt Targett","NEW","D","866","FA","@ARS Sat 6:30PM","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06rwp*","Charlie Tasker","BHA","D","867","FA","","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06zbu*","Aled Thomas","EVE","D","868","FA","@WHU Sat 4:00PM","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*072dy*","Jack Thompson","NOT","D","869","FA","NOT 5<br/>@SUN 0 F","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06zc8*","Tynan Thompson","TOT","F","871","FA","@WOL Sat 4:00PM","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06v0b*","Jim Thwaites","MUN","M","872","FA","BRF Mon 9:00PM","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*0643w*","Ryan Trevitt","BRF","M","874","FA","@MUN Mon 9:00PM","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06xzl*","Nectarios Triantis","SUN","D","875","FA","NOT 5<br/>@SUN 0 F","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*05n3v*","Konstantinos Tsimikas","LIV","D","876","FA","CRY Sat 4:00PM","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*06v0x*","Tymur Tutierov","SUN","F","878","FA","NOT 5<br/>@SUN 0 F","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06uzs*","Tom Tweedy","BUR","F","879","FA","","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06kk4*","Franco Umeh-Chibueze","CRY","F","881","FA","@LIV Sat 4:00PM","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06r9x*","Vitor Reis","MCI","D","910","FA","","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06v0y*","Luka Vuskovic","TOT","D","884","FA","@WOL Sat 4:00PM","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*06rrq*","Reggie Walsh","CHE","M","885","FA","","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*056ir*","Adam Webster","BHA","D","886","FA","","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*05rka*","Reece Welch","EVE","D","888","FA","@WHU Sat 4:00PM","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06l4c*","Ethan Wheatley","MUN","F","889","FA","BRF Mon 9:00PM","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*05wqy*","Joe White","NEW","M","890","FA","@ARS Sat 6:30PM","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*0700q*","Archie Whitehall","NOT","M","891","FA","NOT 5<br/>@SUN 0 F","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*070eq*","Jack Whittaker","SUN","M","892","FA","NOT 5<br/>@SUN 0 F","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06nbq*","Caleb Wiley","CHE","D","894","FA","","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06zbr*","Harold William","BOU","D","895","FA","","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06muh*","Ethan Williams","MUN","M,F","896","FA","BRF Mon 9:00PM","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*05oji*","Rhys Williams","LIV","D","897","FA","CRY Sat 4:00PM","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06qq9*","Luca Williams-Barnett","TOT","M","898","FA","@WOL Sat 4:00PM","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*073k1*","James Wilson","TOT","F","900","FA","@WOL Sat 4:00PM","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*05wwd*","Joshua Wilson-Esbrand","MCI","D","901","FA","","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06zrt*","Will Wright","LIV","F","903","FA","CRY Sat 4:00PM","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06msb*","Malick Yalcouye","BHA","M","904","FA","","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06r5d*","Min-Hyeok Yang","TOT","F","905","FA","@WOL Sat 4:00PM","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*066tb*","Kadan Young","AVL","F","906","FA","@FUL Sat 1:30PM","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06few*","Youssef Chermiti","EVE","F","812","FA","@WHU Sat 4:00PM","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*068yi*","Illia Zabarnyi","BOU","D","907","FA","","0","2%","0%","0","0","0","0","0","0","0","0","0","0"
"*056at*","Jordan Zemura","BOU","D","908","FA","","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
