"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","KP","SOT","TkW","DPt2","AP","CoSF","AER","CSD"
"*03aqp*","Mohamed Salah","LIV","M,F","2","MOV","CRY 1<br/>@LIV 1 F","100","-","-","38","29","89","61","11","1","853","97","9","0"
"*05trb*","Bryan Mbeumo","BRF","M,F","3","BAR","BRF 1<br/>@WOL 1 F","99.67","-","-","38","20","70","41","31","3","807","96","35","0"
"*067yz*","Matheus Cunha","WOL","M,F","8","SJB","BRF 1<br/>@WOL 1 F","89.1","-","-","33","15","57","44","22","4","753","132","13","0"
"*05l8q*","Cole Palmer","CHE","M,F","10","NOAD","CHE 1<br/>@NOT 0 F","87.94","-","-","37","15","89","51","20","7","1,089","111","2","0"
"*068y0*","Antoine Semenyo","BOU","M,F","11","NIM","LEI 0<br/>@BOU 2 F","86.94","-","-","37","11","46","41","35","9","780","106","67","0"
"*0646f*","Alexander Isak","NEW","F","12","PMP","EVE 1<br/>@NEW 0 F","86.56","-","-","34","23","42","46","5","1","507","56","27","0"
"*046c5*","Jarrod Bowen","WHU","M,F","14","MOV","WHU 3<br/>@IPS 1 F","84.71","-","-","34","13","51","37","26","1","554","95","12","0"
"*06ex4*","Josko Gvardiol","MCI","D","15","RED","MCI 2<br/>@FUL 0 F","84.19","-","-","37","5","26","12","39","2","2,310","52","54","13"
"*05yld*","Luis Diaz","LIV","M,F","17","NIM","CRY 1<br/>@LIV 1 F","83.29","-","-","36","13","56","30","26","2","711","84","14","0"
"*05gcr*","Bruno Fernandes","MUN","M,F","19","KLI","AVL 0<br/>@MUN 2 F","81.35","-","-","36","8","91","29","50","9","1,647","68","23","0"
"*02m5b*","Chris Wood","NOT","F","20","SJB","CHE 1<br/>@NOT 0 F","80.42","-","-","36","20","22","35","5","1","314","28","94","0"
"*061vq*","Erling Haaland","MCI","F","21","PMP","MCI 2<br/>@FUL 0 F","79.73","-","-","31","22","29","60","6","2","253","26","57","0"
"*04qrc*","Raul Jimenez","FUL","F","23","W_W","MCI 2<br/>@FUL 0 F","79.01","-","-","38","12","24","33","24","4","449","62","92","0"
"*038ze*","Alex Iwobi","FUL","M,F","24","BAR","MCI 2<br/>@FUL 0 F","78.82","-","-","38","9","59","29","25","1","1,101","66","7","0"
"*05nt6*","Eberechi Eze","CRY","M,F","25","BAR","CRY 1<br/>@LIV 1 F","78.52","-","-","34","8","58","29","22","1","746","118","7","0"
"*062ci*","Kaoru Mitoma","BHA","M,F","26","KLI","BHA 4<br/>@TOT 1 F","77.86","-","-","36","10","37","27","27","1","719","76","27","0"
"*05uor*","Yoane Wissa","BRF","M,F","27","OSW","BRF 1<br/>@WOL 1 F","77.47","-","-","35","19","28","43","12","5","447","66","30","0"
"*04yo7*","Youri Tielemans","AVL","M,F","28","NIM","AVL 0<br/>@MUN 2 F","77.1","-","-","36","3","61","13","58","4","1,662","87","24","0"
"*067zv*","Kevin Schade","BRF","M,F","30","OSW","BRF 1<br/>@WOL 1 F","76.07","-","-","38","11","23","27","25","3","288","68","90","0"
