"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","A","SOT","TkW","DPt2","AP","CoSF","AER","CSD"
"*05u44*","Halil Dervisoglu","BRF","F","595","FA","LEE 2<br/>@BRF 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05nio*","Alfie Devine","TOT","M","596","FA","TOT 5<br/>@NOR 0 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05r34*","Amad Diallo","MUN","F","597","FA","MUN 0<br/>@CRY 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*06195*","Tyler Dibling","SOU","M","598","FA","SOU 1<br/>@LEI 4 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05try*","Thomas Dickson-Peters","NOR","F","599","FA","TOT 5<br/>@NOR 0 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05aly*","Elijah Dixon-Bonner","LIV","M","600","FA","WOL 1<br/>@LIV 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05ux0*","Owen Dodgson","BUR","D","601","FA","NEW 2<br/>@BUR 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*052k8*","Tommy Doyle","MCI","M","602","FA","AVL 2<br/>@MCI 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05uhw*","Samuel Edozie","MCI","F","603","FA","AVL 2<br/>@MCI 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05yf8*","Pierre Ekwah","WHU","D","604","FA","WHU 1<br/>@BHA 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05y56*","Oliver Ewing","LEI","M","606","FA","SOU 1<br/>@LEI 4 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05h02*","Malachi Fagan-Walcott","TOT","D","607","FA","TOT 5<br/>@NOR 0 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05yc5*","Josh Feeney","AVL","M","608","FA","AVL 2<br/>@MCI 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*060yz*","Alvaro Fernandez","MUN","D","609","FA","MUN 0<br/>@CRY 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*060uo*","Marcelo Flores","ARS","M","610","FA","EVE 1<br/>@ARS 5 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05ye9*","Shaqai Forde","WAT","M","611","FA","WAT 1<br/>@CHE 2 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05yf1*","Melkamu Frauendorf","LIV","M","612","FA","WOL 1<br/>@LIV 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05vyf*","James Furlong","BHA","D","613","FA","WHU 1<br/>@BHA 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05yf2*","Liam Gibbs","NOR","M","614","FA","TOT 5<br/>@NOR 0 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*04sjv*","Ryan Giles","WOL","M","615","FA","WOL 1<br/>@LIV 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05tr7*","Lewis Gordon","BRF","D","618","FA","LEE 2<br/>@BRF 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*0427g*","Andre Gray","WAT","F","620","FA","WAT 1<br/>@CHE 2 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05y7c*","Archie Gray","LEE","M","621","FA","LEE 2<br/>@BRF 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*061bs*","Jack Grieves","WAT","F","622","FA","WAT 1<br/>@CHE 2 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05229*","Frederic Guilbert","AVL","D","623","FA","AVL 2<br/>@MCI 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05y9n*","Lewis Hall","CHE","M","625","FA","WAT 1<br/>@CHE 2 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05reo*","Reece Hannam","CRY","D","626","FA","MUN 0<br/>@CRY 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05y57*","Bjorn Hardley","MUN","D","627","FA","MUN 0<br/>@CRY 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05rey*","Kaine Hayden","AVL","D,M","628","FA","AVL 2<br/>@MCI 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05trh*","Maxwell Haygarth","BRF","M","629","FA","LEE 2<br/>@BRF 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05ye2*","Mark Helm","BUR","M","632","FA","NEW 2<br/>@BUR 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05ubv*","Omari Hutchinson","ARS","M","635","FA","EVE 1<br/>@ARS 5 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05u41*","Julian Jeanvier","BRF","D","638","FA","LEE 2<br/>@BRF 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05ozb*","Jack Jenkins","LEE","M","639","FA","LEE 2<br/>@BRF 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05rei*","Nile John","TOT","M","640","FA","TOT 5<br/>@NOR 0 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*060u6*","Abu Kamara","NOR","D","641","FA","TOT 5<br/>@NOR 0 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05r8c*","Michal Karbownik","BHA","D","642","FA","WHU 1<br/>@BHA 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05ycv*","Hayao Kawabe","WOL","M","644","FA","WOL 1<br/>@LIV 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*02lk9*","Martin Kelly","CRY","D","645","FA","MUN 0<br/>@CRY 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05ww4*","Nohan Kenneh","LEE","M","646","FA","LEE 2<br/>@BRF 1 F","0","-","-","0","0","0","0","0","1","0","0","0","0"
"*06130*","Alex Kirk","ARS","D","647","FA","EVE 1<br/>@ARS 5 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05a6f*","Billy Koumetio","LIV","D","648","FA","WOL 1<br/>@LIV 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05unu*","Romeo Lavia","MCI","M","651","FA","AVL 2<br/>@MCI 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05rdy*","Marcel Lavinier","TOT","D","652","FA","TOT 5<br/>@NOR 0 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05yf3*","Dexter Lembikisa","WOL","D","653","FA","WOL 1<br/>@LIV 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
