"ID","Player","Team","Position","RkOv","Status","Opponent","Score","%D","ADP","Ros","+/-","GP","G","KP","SOT","TkW","DPt2","AP","Int","AER","CSD"
"*02t1p*","Billy Sharp","SHU","F","381","FA","BUR 0<br/>@SHU 1 F","28.3","-","-","-","-","16","3","4","6","1","1","84","0","12","0"
"*05r37*","Jakub Moder","BHA","M","382","FA","BHA 0<br/>@ARS 2 F","28.24","-","-","-","-","12","0","3","3","7","0","193","3","7","0"
"*02lor*","Jake Livermore","WBA","M","383","FA","WBA 1<br/>@LEE 3 F","28.19","-","-","-","-","18","0","5","0","18","5","272","16","12","0"
"*04rhe*","Naby Keita","LIV","M","384","FA","CRY 0<br/>@LIV 2 F","28.12","-","-","-","-","10","0","6","2","5","1","313","9","4","0"
"*04ge9*","Eddie Nketiah","ARS","F","385","FA","BHA 0<br/>@ARS 2 F","27.84","-","-","-","-","17","2","8","5","1","0","75","0","7","0"
"*05o2l*","Donny van de Beek","MUN","M","386","FA","MUN 2<br/>@WOL 1 F","27.84","-","-","-","-","19","1","3","1","10","1","235","6","2","0"
"*04qr9*","Morgan Gibbs-White","WOL","M,F","387","FA","MUN 2<br/>@WOL 1 F","27.77","-","-","-","-","11","1","8","4","7","1","191","3","2","0"
"*03r8r*","Ryan Fraser","NEW","M,F","388","FA","NEW 2<br/>@FUL 0 F","27.61","-","-","-","-","18","0","26","6","1","3","208","6","5","0"
"*02m7z*","Juan Mata","MUN","M","389","FA","MUN 2<br/>@WOL 1 F","27.58","-","-","-","-","9","1","8","4","0","0","245","3","1","0"
"*03tj9*","Xherdan Shaqiri","LIV","M,F","390","FA","CRY 0<br/>@LIV 2 F","27.51","-","-","-","-","14","0","19","0","4","2","348","2","2","0"
"*0329o*","Dwight Gayle","NEW","F","391","FA","NEW 2<br/>@FUL 0 F","27.44","-","-","-","-","18","1","6","7","0","0","92","1","11","0"
