"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","KP","SOT","TkW","DPt2","AP","CoSF","AER","CSD"
"*05r8o*","Jean-Philippe Mateta","CRY","F","77","KLI","@LIV Sat 4:00PM","100","93%","+2%","1","3","0","5","1","0","13","2","7","0"
"*0703c*","Nordi Mukiele","SUN","D","54","W_W","NOT 5<br/>@SUN 0 F","93.3","82%","+2%","1","1","0","1","2","0","29","3","10","1"
"*051k7*","Reece James","CHE","D,M","79","FA","","86.33","94%","-2%","1","1","2","2","1","0","44","2","1","1"
"*06kwp*","Josh Acheampong","CHE","D","311","FA","","86.18","4%","0%","1","1","0","2","0","0","49","5","2","1"
"*02lnx*","Danny Welbeck","BHA","F","81","ACB","","83.87","90%","0%","1","2","3","2","2","0","16","2","0","0"
"*05nns*","Danny Ballard","SUN","D","55","PMP","NOT 5<br/>@SUN 0 F","82.6","78%","+4%","1","0","2","1","1","0","32","2","7","1"
"*04y92*","Bukayo Saka","ARS","M,F","18","KLI","NEW Sat 6:30PM","81.63","100%","0%","1","0","6","1","1","0","28","11","1","0"
"*02y6o*","Nathan Ake","MCI","D","339","FA","","80.48","3%","0%","1","0","0","0","2","0","103","1","4","1"
"*05uel*","Kristoffer Ajer","BRF","D","222","FA","@MUN Mon 9:00PM","79.76","6%","-1%","1","0","0","0","3","0","16","2","8","1"
"*061vq*","Erling Haaland","MCI","F","9","RED","","78.96","100%","0%","1","2","0","4","0","0","7","3","2","0"
"*06yb7*","Gabriel Gudmundsson","LEE","D,M","123","OSW","","78.67","35%","0%","1","0","4","0","2","0","46","6","0","0"
"*056iy*","Pedro Neto","CHE","M,F","84","FA","","78.62","99%","0%","1","1","4","2","0","0","23","4","1","0"
"*061va*","Boubacar Kamara","AVL","M","198","FA","AVL 0<br/>@FUL 1","78.39","8%","0%","1","0","0","0","3","0","41","7","3","0"
"*063zi*","Matheus Nunes","MCI","D,M","40","MOV","","77.07","99%","0%","1","0","2","0","0","0","94","2","2","1"
"*06rgg*","Michael Kayode","BRF","D","33","NIM","@MUN Mon 9:00PM","76.45","93%","+2%","1","0","7","0","0","0","40","1","1","1"
"*070f4*","Ladislav Krejci","WOL","D,M","177","FA","TOT Sat 4:00PM","76.38","6%","0%","1","0","1","1","0","0","81","1","8","0"
