"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","KP","SOT","TkW","DPt2","AP","CoSF","AER","CSD"
"*0700p*","Malick Thiaw","NEW","D","58","OSW","@ARS Sat 6:30PM","100","77%","-2%","1","2","0","2","1","0","58","0","6","0"
"*04abb*","Phil Foden","MCI","M,F","56","FA","","97.37","96%","-2%","1","2","1","3","0","0","40","2","2","0"
"*05opj*","Elliot Anderson","NOT","M","11","NIM","NOT 5<br/>@SUN 0 F","91.48","99%","0%","1","0","6","0","2","0","62","10","0","0"
"*068lx*","Dango Ouattara","BRF","M,F","116","OSW","@MUN Mon 9:00PM","88.3","96%","0%","1","1","2","1","1","0","12","3","6","0"
"*05oeh*","Kenny Tete","FUL","D","111","FA","AVL 0<br/>@FUL 1","87.44","35%","-3%","1","1","0","1","4","0","21","3","2","0"
"*067x8*","Nico O'Reilly","MCI","D,M","21","MOV","","85.68","84%","0%","1","0","3","2","0","0","35","2","7","0"
"*06ab3*","Lewis Miley","NEW","D,M","187","FA","@ARS Sat 6:30PM","85.19","26%","+6%","1","1","2","1","2","0","55","0","1","0"
"*06mve*","Joshua Zirkzee","MUN","F","319","FA","BRF Mon 9:00PM","84.31","5%","0%","1","1","1","1","2","0","22","0","6","0"
"*061va*","Boubacar Kamara","AVL","M","198","FA","AVL 0<br/>@FUL 1","84.25","8%","0%","1","1","0","1","1","0","50","3","2","0"
"*067yv*","Cody Gakpo","LIV","M,F","28","KLI","CRY Sat 4:00PM","83.71","100%","0%","1","1","3","1","0","0","17","3","3","0"
"*057cr*","Kevin Danso","TOT","D","267","BAR","@WOL Sat 4:00PM","83.66","11%","+8%","1","0","0","0","2","0","82","1","8","0"
"*05o4b*","Matty Cash","AVL","D","80","MOV","AVL 0<br/>@FUL 1","83.47","81%","0%","1","0","0","1","1","0","48","4","2","1"
"*035n1*","Bertrand Traore","SUN","M,F","352","FA","NOT 5<br/>@SUN 0 F","83.16","1%","0%","1","1","2","2","1","0","18","3","0","0"
"*04yo7*","Youri Tielemans","AVL","M","136","OSW","AVL 0<br/>@FUL 1","82.52","88%","+5%","1","0","2","2","3","0","37","2","1","0"
"*052ca*","Ezri Konsa","AVL","D","159","KLI","AVL 0<br/>@FUL 1","82.32","36%","+3%","1","0","2","0","0","0","66","2","3","1"
"*06y9m*","Maxim De Cuyper","BHA","D,M","208","FA","","82.24","27%","0%","1","1","4","1","1","0","18","2","0","0"
"*051k0*","John McGinn","AVL","M","113","SJB","AVL 0<br/>@FUL 1","81.97","70%","+15%","1","0","4","0","2","0","38","5","0","0"
"*04hk9*","Mikel Merino","ARS","M,F","212","FA","NEW Sat 6:30PM","81.91","20%","0%","1","1","0","2","1","0","12","3","3","0"
"*06mpp*","Mats Wieffer","BHA","D,M","95","FA","","80.88","74%","0%","1","0","3","0","2","1","48","2","2","1"
"*04mup*","Trevoh Chalobah","CHE","D","78","PMP","","80.79","63%","0%","1","1","0","1","1","0","38","1","4","0"
"*06mn0*","Igor Thiago","BRF","F","6","BAR","@MUN Mon 9:00PM","80.24","99%","0%","1","2","0","2","0","0","7","1","1","0"
"*051k7*","Reece James","CHE","D,M","79","FA","","79.62","94%","-2%","1","0","2","0","1","0","25","5","5","0"
"*06v0p*","Enzo Le Fee","SUN","M,F","59","NIM","NOT 5<br/>@SUN 0 F","79.15","89%","+3%","1","1","3","1","1","0","26","1","0","0"
"*070ci*","Amine Adli","BOU","M,F","203","FA","","78.88","13%","-3%","1","1","1","1","1","0","20","3","1","0"
"*04e1c*","Lewis Dunk","BHA","D","201","KLI","","78.77","21%","-2%","1","0","0","0","0","0","73","0","6","1"
"*06ex4*","Josko Gvardiol","MCI","D","185","FA","","78.64","43%","-2%","1","1","1","1","0","1","65","1","3","0"
"*06pic*","Andre","WOL","M","210","SJB","TOT Sat 4:00PM","78.63","6%","+2%","1","0","2","0","3","1","69","4","0","0"
