"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","KP","SOT","TkW","DPt2","AP","CoSF","AER","CSD"
"*05vyj*","Evan Ferguson","BHA","F","232","FA","MUN 2<br/>@BHA 0 F","100","-","-","1","3","0","4","0","0","17","6","1","0"
"*0414o*","James Maddison","TOT","M,F","60","KLI","TOT 3<br/>@SHU 0 F","92.82","-","-","1","1","1","5","0","0","44","6","0","0"
"*05nt6*","Eberechi Eze","CRY","M,F","22","SJB","AVL 0<br/>@CRY 5 F","91.73","-","-","1","1","4","3","1","0","27","4","1","0"
"*03arh*","Kurt Zouma","WHU","D","177","LHO","WHU 1<br/>@MCI 3 F","87.05","-","-","1","1","0","1","1","0","60","1","7","0"
"*061vq*","Erling Haaland","MCI","F","14","LHO","WHU 1<br/>@MCI 3 F","83.85","-","-","1","3","2","3","0","0","4","0","0","0"
"*068ym*","Enzo Fernandez","CHE","M,F","130","FA","BOU 1<br/>@CHE 2 F","83.73","-","-","1","0","3","1","1","0","80","3","2","0"
"*03v9d*","Son Heung-Min","TOT","M,F","10","BAR","TOT 3<br/>@SHU 0 F","83.33","-","-","1","3","1","3","0","0","14","0","0","0"
"*03r93*","Joseph Gomez","LIV","D","155","FA","WOL 0<br/>@LIV 2 F","80.61","-","-","1","0","1","0","0","0","103","2","2","1"
"*0647t*","Lucas Paqueta","WHU","M,F","42","BAR","WHU 1<br/>@MCI 3 F","80.58","-","-","1","0","1","0","4","0","61","3","2","0"
"*03aqp*","Mohamed Salah","LIV","F","13","ACB","WOL 0<br/>@LIV 2 F","80.54","-","-","1","1","2","3","1","0","22","2","1","0"
"*02y6o*","Nathan Ake","MCI","D","99","KLI","WHU 1<br/>@MCI 3 F","80.38","-","-","1","1","0","1","1","0","72","0","4","0"
"*03srg*","Trent Alexander-Arnold","LIV","D","78","OSW","WOL 0<br/>@LIV 2 F","80.32","-","-","1","0","5","0","0","0","68","0","0","1"
"*0477b*","Oliver McBurnie","SHU","F","193","FA","TOT 3<br/>@SHU 0 F","80.04","-","-","1","0","1","2","0","0","14","5","6","0"
"*05uoc*","Cristian Romero","TOT","D","68","BAR","TOT 3<br/>@SHU 0 F","79.94","-","-","1","1","0","1","0","0","68","1","4","0"
"*063hu*","Amadou Onana","EVE","M","121","LHO","EVE 1<br/>@ARS 2 F","79.67","-","-","1","0","1","0","2","0","37","3","6","0"
"*02lny*","Ashley Young","EVE","D,M","210","NOAD","EVE 1<br/>@ARS 2 F","79.57","-","-","1","0","2","1","4","0","37","3","1","0"
